id,edge,link,interface,mode,type,start,end,bytesTx,bytesRx,bytesTotal
4120,JA04125VC,10.1.9.199,GE2,PRIVATE,WIRELESS,2022-07-01 00:00:00,2022-08-01 00:00:00,4365591,3696242,8061833
4120,JA04125VC,ATT (Mettel - BDB.107675),GE1,PUBLIC,WIRED,2022-07-01 00:00:00,2022-08-01 00:00:00,26669178509,61172061334,87841239843
3938,KA01175VC,15.RBCB.124511 (MTL - Granite),GE1,PUBLIC,WIRED,2022-07-01 00:00:00,2022-08-01 00:00:00,64109381987,238923038840,303032420827
3938,KA01175VC,10.73.0.91,GE2,PRIVATE,WIRELESS,2022-07-01 00:00:00,2022-08-01 00:00:00,1320670896,15655311900,16975982796
5018,LAB_MSMITHKEY_01VC,10.64.3.102,GE2,PRIVATE,WIRELESS,2022-07-01 00:00:00,2022-08-01 00:00:00,3246217408,6399753422,9645970830
5018,LAB_MSMITHKEY_01VC,AT&T Wireless (Signet - 330.256.5444),GE1,PUBLIC,WIRELESS,2022-07-01 00:00:00,2022-08-01 00:00:00,9157695156,19811754724,28969449880
162,KA00082VC,107.125.177.102,GE2,PUBLIC,WIRELESS,2022-07-01 00:00:00,2022-08-01 00:00:00,4945522,9144504,14090026
162,KA00082VC,Spectrum - (MetTel - 17.RBCB.129755),GE1,PUBLIC,WIRED,2022-07-01 00:00:00,2022-08-01 00:00:00,38901586092,102825563270,141727149362
4830,KA02862VC,10.64.4.93,GE2,PRIVATE,WIRELESS,2022-07-01 00:00:00,2022-08-01 00:00:00,1310740,35639510,36950250
4830,KA02862VC,ATT - (MetTel - 33.RBBT.110137),GE1,PUBLIC,WIRED,2022-07-01 00:00:00,2022-08-01 00:00:00,22687428502,48211747211,70899175713
399,KA04735VC,10.1.2.62,GE2,PRIVATE,WIRELESS,2022-07-01 00:00:00,2022-08-01 00:00:00,16983832,315579784,332563616
399,KA04735VC,Comcast - (MetTel - BCB.127046),GE1,PUBLIC,WIRED,2022-07-01 00:00:00,2022-08-01 00:00:00,43665814433,73200287351,116866101784
3045,ZL00862VC,Spectrum (MetTel - 16.RBCB.120507),GE1,PUBLIC,WIRED,2022-07-01 00:00:00,2022-08-01 00:00:00,45432694855,68089651240,113522346095
3045,ZL00862VC,Verizon Wireless (MetTel - 9175940257),GE2,PRIVATE,WIRELESS,2022-07-01 00:00:00,2022-08-01 00:00:00,5975433,29176725,35152158
5149,PP03723VC,MetTel Wireless (MetTel),GE2,PRIVATE,WIRELESS,2022-07-01 00:00:00,2022-08-01 00:00:00,489486141,3522958775,4012444916
5149,PP03723VC,Granite - 04722564 (MetTel CID - 12.RBCB.149630),GE1,PUBLIC,WIRED,2022-07-01 00:00:00,2022-08-01 00:00:00,28531186810,37958102872,66489289682
587,KA02208VC,98.150.239.120,GE1,PUBLIC,WIRED,2022-07-01 00:00:00,2022-08-01 00:00:00,32885449404,78782732705,111668182109
